# x_m,y_m,w_tr_right_m,w_tr_left_m
-4.4750,-1.0250,0.6708,0.6708
-4.4250,-0.9750,0.6946,0.6946
-4.3750,-0.9750,0.6708,0.6708
-4.3250,-0.9250,0.6946,0.6946
-4.2750,-0.9250,0.6708,0.6708
-4.2250,-0.8750,0.6801,0.6801
-4.1750,-0.8750,0.6801,0.6801
-4.1250,-0.8250,0.6576,0.6576
-4.0750,-0.8250,0.6671,0.6671
-4.0250,-0.8250,0.6708,0.6708
-3.9750,-0.7750,0.6500,0.6500
-3.9250,-0.7750,0.6708,0.6708
-3.8750,-0.7750,0.6500,0.6500
-3.8250,-0.7750,0.6325,0.6325
-3.7750,-0.7250,0.6671,0.6671
-3.7250,-0.7250,0.6500,0.6500
-3.6750,-0.6750,0.6801,0.6801
-3.6250,-0.6750,0.6671,0.6671
-3.5750,-0.6250,0.6801,0.6801
-3.5250,-0.6250,0.6801,0.6801
-3.4750,-0.5750,0.6708,0.6708
-3.4250,-0.5750,0.6946,0.6946
-3.3750,-0.5250,0.6708,0.6708
-3.3250,-0.5250,0.6801,0.6801
-3.2750,-0.5250,0.6519,0.6519
-3.2250,-0.4750,0.6671,0.6671
-3.1750,-0.4750,0.6500,0.6500
-3.1250,-0.4250,0.6500,0.6500
-3.0750,-0.4250,0.6671,0.6671
-3.0250,-0.4250,0.6500,0.6500
-2.9750,-0.4250,0.6325,0.6325
-2.9250,-0.3750,0.6671,0.6671
-2.8750,-0.3750,0.6500,0.6500
-2.8250,-0.3250,0.6708,0.6708
-2.7750,-0.3250,0.6671,0.6671
-2.7250,-0.3250,0.6500,0.6500
-2.6750,-0.2750,0.6801,0.6801
-2.6250,-0.2750,0.6671,0.6671
-2.5750,-0.2250,0.6964,0.6964
-2.5250,-0.2250,0.6801,0.6801
-2.4750,-0.1750,0.7159,0.7159
-2.4250,-0.1750,0.7071,0.7071
-2.3750,-0.1250,0.6964,0.6964
-2.3250,-0.1250,0.7159,0.7159
-2.2750,-0.1250,0.6964,0.6964
-2.2250,-0.1250,0.6801,0.6801
-2.1750,-0.0750,0.7159,0.7159
-2.1250,-0.0750,0.6964,0.6964
-2.0750,-0.0750,0.6801,0.6801
-2.0250,-0.0750,0.6671,0.6671
-1.9750,-0.0250,0.6964,0.6964
-1.9250,-0.0250,0.6801,0.6801
-1.8750,-0.0250,0.6671,0.6671
-1.8250,-0.0250,0.6576,0.6576
-1.7750,-0.0250,0.6519,0.6519
-1.7250,-0.0250,0.6500,0.6500
-1.6750,-0.0250,0.6500,0.6500
-1.6250,-0.0250,0.6500,0.6500
-1.5750,-0.0250,0.6500,0.6500
-1.5250,-0.0250,0.6500,0.6500
-1.4750,-0.0250,0.6500,0.6500
-1.4250,-0.0250,0.6500,0.6500
-1.3750,-0.0250,0.6500,0.6500
-1.3250,-0.0250,0.6500,0.6500
-1.2750,-0.0250,0.6500,0.6500
-1.2250,-0.0250,0.6500,0.6500
-1.1750,-0.0750,0.6021,0.6021
-1.1250,-0.0750,0.6083,0.6083
-1.0750,-0.0750,0.6185,0.6185
-1.0250,-0.0750,0.6325,0.6325
-0.9750,-0.0750,0.6500,0.6500
-0.9250,-0.0750,0.6671,0.6671
-0.8750,-0.0750,0.6671,0.6671
-0.8250,-0.0750,0.6576,0.6576
-0.7750,-0.1250,0.6708,0.6708
-0.7250,-0.1250,0.6946,0.6946
-0.6750,-0.1250,0.6801,0.6801
-0.6250,-0.1250,0.6671,0.6671
-0.5750,-0.1750,0.6964,0.6964
-0.5250,-0.1750,0.6801,0.6801
-0.4750,-0.1750,0.6671,0.6671
-0.4250,-0.2250,0.7071,0.7071
-0.3750,-0.2250,0.7018,0.7018
-0.3250,-0.2250,0.7000,0.7000
-0.2750,-0.2250,0.7018,0.7018
-0.2250,-0.2750,0.7433,0.7433
-0.1750,-0.2750,0.7280,0.7280
-0.1250,-0.3250,0.7649,0.7649
-0.0750,-0.3250,0.7566,0.7566
-0.0250,-0.3750,0.7826,0.7826
0.0250,-0.3750,0.7906,0.7906
0.0750,-0.4250,0.7826,0.7826
0.1250,-0.4250,0.7826,0.7826
0.1750,-0.4250,0.7616,0.7616
0.2250,-0.4250,0.7433,0.7433
0.2750,-0.4250,0.7280,0.7280
0.3250,-0.4750,0.7649,0.7649
0.3750,-0.4750,0.7566,0.7566
0.4250,-0.5250,0.8016,0.8016
0.4750,-0.5750,0.8500,0.8500
0.5250,-0.5750,0.8500,0.8500
0.5750,-0.6250,0.8732,0.8732
0.6250,-0.6250,0.8732,0.8732
0.6750,-0.6750,0.8746,0.8746
0.7250,-0.7250,0.8602,0.8602
0.7750,-0.7750,0.8515,0.8515
0.8250,-0.7750,0.8732,0.8732
0.8750,-0.8250,0.8500,0.8500
0.9250,-0.8750,0.8322,0.8322
0.9750,-0.9250,0.8201,0.8201
1.0250,-0.9750,0.8062,0.8062
1.0250,-1.0250,0.7906,0.7906
1.0750,-1.0750,0.7810,0.7810
1.1250,-1.1250,0.7778,0.7778
1.1750,-1.1250,0.7778,0.7778
1.2250,-1.1750,0.7778,0.7778
1.2750,-1.2250,0.7810,0.7810
1.3250,-1.2750,0.7632,0.7632
1.3750,-1.3250,0.7500,0.7500
1.4250,-1.3750,0.7382,0.7382
1.4750,-1.4250,0.7159,0.7159
1.5250,-1.4750,0.6946,0.6946
1.5750,-1.4750,0.7106,0.7106
1.6250,-1.5250,0.7106,0.7106
1.6750,-1.5250,0.6946,0.6946
1.7250,-1.5750,0.7159,0.7159
1.7750,-1.6250,0.7106,0.7106
1.8250,-1.6250,0.7159,0.7159
1.8750,-1.6750,0.7433,0.7433
1.9250,-1.6750,0.7211,0.7211
1.9750,-1.7250,0.7382,0.7382
2.0250,-1.7250,0.7159,0.7159
2.0750,-1.7750,0.7433,0.7433
2.1250,-1.7750,0.7280,0.7280
2.1750,-1.8250,0.7616,0.7616
2.2250,-1.8750,0.7500,0.7500
2.2750,-1.8750,0.7500,0.7500
